COMMENT_ID,USER_ID,MOVIE_ID,CONTENT,COMMENT_TIME,RATING,label
331539611,001bd77d566f2522cd4397eabd89d068,1927686,"爱情不停站，想开往地老天荒需要多勇敢，你不要失望，荡气回肠是为了
最美的平凡",2010-12-26 12:35:42,4.0,Train
344429879,001bd77d566f2522cd4397eabd89d068,1300334,本以为是一般的记录片，看时又觉得像动画片。风景优美，情节感人。后期处理太牛了！很多细节都完美！当小熊被猎豹攻击时站起来吼叫，然后身后不远处大熊也同样站起来吼叫吓走猎豹，这个镜头灰常好！,2011-01-30 19:24:05,5.0,Train
344422441,001bd77d566f2522cd4397eabd89d068,1291838,与其做一个循规蹈矩、为虚妄的名义而战斗的飞行员，不如做个没心没肺、天真率性、驾着自己的破飞机自由翱翔的地中海飞盗！ 宫崎骏的电影看一遍是不够滴～,2011-02-15 18:16:02,4.0,Train
458062936,001bd77d566f2522cd4397eabd89d068,1418752,"“任何不是出于严肃的信仰的模棱两可的“相信”都会给我们带来恶果。当我们不去严肃的信仰某个东西，却又害怕这个信仰一旦变成真的怎么办的时候，我们就陷进了挣扎当中。而在这种“将信将疑”的时候，人的心理是最为脆弱的，因为它不够彪悍，不够坚强。 如果不信，那么就请彪悍的不相信。”
",2011-12-06 23:46:34,4.0,Train
478225799,001bd77d566f2522cd4397eabd89d068,1296252,我看这电影那会儿还小学5年级呢，在电影院看的这片这个尴尬啊。。。 ,2012-01-04 23:30:53,3.0,Train
616916719,001bd77d566f2522cd4397eabd89d068,6129462,没想到战争片拍得还挺温馨的，感觉这电影成本好低啊！╮(╯▽╰)╭,2013-03-01 21:42:16,4.0,Train
798512306,001bd77d566f2522cd4397eabd89d068,1307427,本来是个平淡无奇的2星剧情，但是结尾大反转三星半吧！可是还想不明白，看影评有好几种说法，越看越乱+_+,2014-04-19 22:09:54,3.0,Test
784291590,001c0ec3855e2b98e9a38b3552d95e72,1296158,那个用披萨做的Java the hut实在是太恶心啦！！哈哈哈哈,2014-03-09 01:49:13,2.0,Train
792628847,001c0ec3855e2b98e9a38b3552d95e72,1777929,拿什么来与毫无意义作斗争？演主角特罗哥中尉的Jacques Perrin现在成了一个老头儿。4K修复版，画面效果惊人！老片总能让人看得如痴如醉，画面，拍摄，人物，对话，故事都那么的美。,2014-03-31 22:08:17,4.0,Train
792657720,001c0ec3855e2b98e9a38b3552d95e72,19962587,弥勒导演上台说的第一句话居然是中文的“你好！”，哈哈这尼玛是真爱！片子比较好地表达了因经济发展过快，人人之间温情渐远，剩下如钢铁般冰冷的感情，甚至至亲之间都无可避免。反思，幽默，民族，真情，讽刺，都刻画得很好，这片可贵之处在于用一种国际性的视野来展现你民族性的东西，更具说服力。,2014-03-31 23:32:55,4.0,Train
